iter	Passed	Remaining
0	55	27917
1	67	16872
2	77	12795
3	87	10798
4	95	9503
5	102	8474
6	109	7741
7	117	7254
8	123	6739
9	128	6320
10	134	5969
11	140	5697
12	145	5457
13	153	5321
14	159	5151
15	166	5024
16	172	4901
17	177	4758
18	186	4733
19	193	4642
20	200	4580
21	207	4515
22	214	4446
23	222	4417
24	228	4345
25	236	4305
26	244	4275
27	251	4235
28	259	4208
29	267	4189
30	274	4159
31	281	4114
32	288	4085
33	295	4054
34	302	4014
35	309	3983
36	315	3950
37	322	3919
38	327	3873
39	333	3835
40	340	3814
41	347	3787
42	353	3753
43	359	3727
44	366	3701
45	372	3679
46	379	3660
47	385	3633
48	393	3618
49	399	3593
50	407	3584
51	412	3554
52	419	3538
53	424	3509
54	432	3497
55	439	3481
56	445	3465
57	453	3457
58	460	3444
59	467	3426
60	474	3414
61	480	3397
62	487	3381
63	496	3382
64	503	3372
65	512	3370
66	521	3368
67	528	3360
68	537	3355
69	542	3330
70	549	3317
71	555	3299
72	561	3286
73	569	3279
74	576	3265
75	581	3244
76	589	3235
77	596	3227
78	602	3209
79	608	3197
80	616	3189
81	624	3182
82	630	3169
83	637	3154
84	643	3142
85	650	3132
86	657	3120
87	664	3109
88	671	3100
89	677	3086
90	682	3068
91	688	3052
92	695	3043
93	701	3031
94	707	3016
95	713	3001
96	719	2987
97	725	2977
98	732	2968
99	739	2959
100	746	2950
101	755	2949
102	762	2938
103	768	2924
104	774	2915
105	781	2906
106	788	2896
107	796	2890
108	802	2877
109	809	2870
110	816	2860
111	822	2850
112	828	2838
113	835	2830
114	840	2814
115	846	2800
116	853	2793
117	859	2782
118	866	2774
119	872	2763
120	878	2751
121	884	2740
122	889	2727
123	895	2715
124	900	2700
125	905	2687
126	912	2678
127	919	2671
128	924	2660
129	931	2650
130	938	2643
131	945	2634
132	951	2625
133	957	2615
134	963	2604
135	969	2595
136	976	2587
137	983	2579
138	993	2580
139	1000	2572
140	1007	2564
141	1013	2555
142	1020	2547
143	1027	2539
144	1033	2529
145	1039	2520
146	1047	2514
147	1054	2507
148	1060	2499
149	1068	2494
150	1075	2485
151	1082	2477
152	1088	2468
153	1094	2459
154	1100	2448
155	1105	2438
156	1114	2434
157	1121	2426
158	1128	2420
159	1134	2410
160	1140	2401
161	1147	2394
162	1156	2390
163	1162	2382
164	1171	2377
165	1178	2372
166	1184	2362
167	1191	2354
168	1198	2347
169	1206	2342
170	1213	2335
171	1220	2327
172	1228	2322
173	1235	2315
174	1244	2310
175	1250	2302
176	1257	2295
177	1264	2288
178	1272	2282
179	1279	2274
180	1286	2266
181	1292	2257
182	1298	2249
183	1304	2241
184	1311	2232
185	1318	2226
186	1325	2217
187	1331	2210
188	1337	2201
189	1345	2194
190	1350	2185
191	1357	2177
192	1364	2170
193	1372	2164
194	1378	2156
195	1384	2147
196	1390	2138
197	1396	2129
198	1404	2123
199	1410	2115
200	1416	2106
201	1422	2098
202	1428	2090
203	1436	2083
204	1442	2076
205	1448	2067
206	1455	2059
207	1461	2051
208	1468	2044
209	1474	2036
210	1481	2029
211	1488	2021
212	1497	2017
213	1504	2011
214	1510	2002
215	1519	1997
216	1526	1990
217	1532	1982
218	1539	1975
219	1544	1966
220	1552	1959
221	1558	1951
222	1566	1945
223	1572	1938
224	1578	1929
225	1585	1922
226	1592	1915
227	1598	1907
228	1604	1899
229	1610	1891
230	1616	1882
231	1622	1874
232	1628	1866
233	1636	1859
234	1641	1851
235	1648	1843
236	1653	1835
237	1661	1828
238	1668	1821
239	1674	1813
240	1681	1807
241	1689	1800
242	1694	1792
243	1702	1786
244	1708	1778
245	1715	1771
246	1722	1764
247	1728	1756
248	1734	1748
249	1740	1740
250	1746	1732
251	1753	1725
252	1758	1716
253	1764	1708
254	1767	1698
255	1774	1691
256	1780	1683
257	1786	1675
258	1793	1668
259	1798	1660
260	1804	1652
261	1811	1645
262	1816	1636
263	1821	1628
264	1828	1621
265	1834	1613
266	1841	1606
267	1848	1600
268	1855	1593
269	1862	1586
270	1869	1579
271	1875	1572
272	1882	1565
273	1888	1557
274	1893	1549
275	1899	1541
276	1905	1533
277	1912	1527
278	1919	1520
279	1925	1512
280	1931	1505
281	1938	1498
282	1944	1491
283	1951	1484
284	1958	1477
285	1965	1470
286	1971	1463
287	1978	1456
288	1987	1450
289	1994	1444
290	2001	1437
291	2006	1429
292	2013	1422
293	2019	1415
294	2025	1407
295	2031	1400
296	2039	1393
297	2046	1387
298	2054	1380
299	2061	1374
300	2068	1367
301	2075	1360
302	2082	1353
303	2087	1346
304	2094	1339
305	2100	1331
306	2107	1324
307	2115	1318
308	2122	1312
309	2129	1304
310	2137	1299
311	2143	1291
312	2149	1284
313	2156	1277
314	2161	1269
315	2169	1263
316	2174	1255
317	2180	1248
318	2186	1240
319	2193	1233
320	2200	1227
321	2206	1219
322	2213	1213
323	2220	1206
324	2226	1198
325	2233	1192
326	2238	1184
327	2247	1178
328	2252	1171
329	2258	1163
330	2266	1157
331	2271	1149
332	2277	1142
333	2282	1134
334	2289	1127
335	2296	1120
336	2302	1113
337	2310	1107
338	2316	1100
339	2322	1092
340	2328	1085
341	2336	1079
342	2342	1072
343	2348	1064
344	2355	1058
345	2362	1051
346	2369	1044
347	2375	1037
348	2381	1030
349	2388	1023
350	2395	1016
351	2401	1009
352	2409	1003
353	2419	997
354	2425	990
355	2433	984
356	2440	977
357	2445	970
358	2452	963
359	2458	956
360	2463	948
361	2470	941
362	2477	935
363	2486	929
364	2493	922
365	2499	915
366	2505	907
367	2511	900
368	2519	894
369	2525	887
370	2531	880
371	2538	873
372	2545	866
373	2555	861
374	2562	854
375	2568	847
376	2575	840
377	2582	833
378	2588	826
379	2594	819
380	2600	812
381	2606	805
382	2612	797
383	2615	790
384	2623	783
385	2629	776
386	2634	769
387	2641	762
388	2647	755
389	2652	748
390	2657	740
391	2664	734
392	2671	727
393	2678	720
394	2685	713
395	2691	706
396	2696	699
397	2701	692
398	2708	685
399	2714	678
400	2720	671
401	2726	664
402	2732	657
403	2738	650
404	2745	643
405	2751	636
406	2757	630
407	2764	623
408	2769	616
409	2776	609
410	2783	602
411	2790	595
412	2796	589
413	2802	582
414	2808	575
415	2815	568
416	2821	561
417	2830	555
418	2836	548
419	2841	541
420	2848	534
421	2855	527
422	2860	520
423	2867	513
424	2875	507
425	2881	500
426	2888	493
427	2894	486
428	2901	480
429	2909	473
430	2916	466
431	2923	460
432	2931	453
433	2938	446
434	2944	440
435	2950	433
436	2956	426
437	2963	419
438	2969	412
439	2974	405
440	2981	398
441	2988	392
442	2993	385
443	3000	378
444	3005	371
445	3013	364
446	3020	358
447	3026	351
448	3033	344
449	3041	337
450	3048	331
451	3054	324
452	3061	317
453	3069	311
454	3076	304
455	3083	297
456	3089	290
457	3095	283
458	3102	277
459	3108	270
460	3115	263
461	3123	256
462	3128	250
463	3134	243
464	3140	236
465	3146	229
466	3152	222
467	3159	216
468	3166	209
469	3173	202
470	3179	195
471	3186	189
472	3191	182
473	3198	175
474	3204	168
475	3210	161
476	3216	155
477	3222	148
478	3229	141
479	3235	134
480	3241	128
481	3247	121
482	3254	114
483	3260	107
484	3267	101
485	3273	94
486	3279	87
487	3286	80
488	3293	74
489	3298	67
490	3305	60
491	3312	53
492	3318	47
493	3325	40
494	3331	33
495	3337	26
496	3343	20
