iter	Passed	Remaining
0	51	25623
1	54	13546
2	57	9474
3	57	7156
4	60	5953
5	63	5190
6	65	4638
7	69	4266
8	73	3983
9	75	3715
10	78	3511
11	81	3321
12	84	3164
13	87	3038
14	91	2945
15	95	2883
16	96	2741
17	99	2663
18	102	2594
19	106	2544
20	111	2542
21	116	2520
22	118	2455
23	121	2411
24	124	2362
25	127	2318
26	130	2290
27	134	2261
28	135	2193
29	137	2156
30	140	2119
31	143	2092
32	146	2068
33	149	2048
34	152	2030
35	155	2003
36	158	1987
37	159	1938
38	163	1935
39	166	1914
40	169	1899
41	172	1875
42	174	1857
43	178	1847
44	181	1831
45	183	1812
46	186	1800
47	189	1784
48	194	1792
49	197	1781
50	200	1766
51	203	1755
52	207	1747
53	211	1744
54	215	1740
55	218	1734
56	225	1750
57	228	1741
58	231	1733
59	235	1725
60	240	1730
61	245	1735
62	249	1730
63	252	1718
64	255	1709
65	257	1695
66	260	1684
67	263	1676
68	267	1670
69	269	1658
70	272	1648
71	275	1640
72	279	1632
73	282	1627
74	285	1619
75	288	1611
76	291	1603
77	294	1594
78	297	1587
79	301	1585
80	305	1578
81	307	1569
82	310	1561
83	313	1554
84	316	1544
85	319	1540
86	323	1534
87	325	1526
88	328	1518
89	332	1513
90	335	1508
91	338	1501
92	341	1495
93	345	1490
94	348	1484
95	351	1477
96	353	1470
97	356	1463
98	360	1458
99	363	1453
100	367	1449
101	371	1449
102	376	1452
103	379	1445
104	383	1441
105	385	1433
106	389	1431
107	393	1427
108	396	1423
109	399	1416
110	402	1411
111	406	1406
112	408	1398
113	411	1394
114	414	1388
115	417	1381
116	420	1377
117	424	1374
118	427	1369
119	430	1364
120	434	1359
121	437	1354
122	440	1351
123	444	1346
124	446	1340
125	449	1334
126	453	1331
127	456	1325
128	460	1324
129	463	1319
130	467	1316
131	470	1311
132	472	1304
133	476	1300
134	478	1294
135	481	1288
136	483	1281
137	486	1276
138	490	1273
139	494	1270
140	497	1267
141	500	1262
142	503	1257
143	507	1254
144	509	1248
145	513	1245
146	517	1241
147	519	1236
148	522	1231
149	526	1228
150	529	1224
151	532	1220
152	535	1215
153	538	1209
154	540	1204
155	544	1200
156	547	1196
157	550	1190
158	552	1185
159	555	1180
160	559	1177
161	562	1172
162	564	1167
163	568	1165
164	572	1161
165	575	1157
166	578	1153
167	582	1150
168	585	1146
169	588	1141
170	590	1136
171	593	1132
172	596	1127
173	599	1122
174	602	1119
175	605	1114
176	609	1112
177	612	1107
178	614	1102
179	619	1100
180	622	1096
181	625	1092
182	628	1088
183	631	1084
184	634	1080
185	637	1076
186	641	1073
187	644	1069
188	647	1064
189	649	1060
190	652	1055
191	656	1053
192	659	1049
193	663	1045
194	665	1041
195	669	1038
196	672	1035
197	676	1031
198	679	1027
199	682	1023
200	685	1019
201	690	1018
202	693	1014
203	695	1009
204	698	1005
205	702	1002
206	705	998
207	708	994
208	711	991
209	714	987
210	717	982
211	719	978
212	723	975
213	726	971
214	729	967
215	733	964
216	736	960
217	739	957
218	743	953
219	746	950
220	749	946
221	752	942
222	755	938
223	758	934
224	761	930
225	764	926
226	767	923
227	770	919
228	773	915
229	777	912
230	780	909
231	783	904
232	786	901
233	788	896
234	791	893
235	794	889
236	798	885
237	801	882
238	804	878
239	807	875
240	810	870
241	813	867
242	815	862
243	819	859
244	822	855
245	825	851
246	829	849
247	832	845
248	836	842
249	840	840
250	848	841
251	851	838
252	854	834
253	857	830
254	861	827
255	865	824
256	868	821
257	871	817
258	874	813
259	877	810
260	880	806
261	884	803
262	887	799
263	890	795
264	893	792
265	895	788
266	898	784
267	902	781
268	904	777
269	907	773
270	910	769
271	913	765
272	915	761
273	918	757
274	921	754
275	924	750
276	927	746
277	930	742
278	933	739
279	935	735
280	939	731
281	942	728
282	945	725
283	948	721
284	951	717
285	954	714
286	957	710
287	960	706
288	962	703
289	966	699
290	968	695
291	972	692
292	975	688
293	978	685
294	981	681
295	985	679
296	988	675
297	991	671
298	994	668
299	996	664
300	999	661
301	1002	657
302	1007	654
303	1010	651
304	1012	647
305	1015	644
306	1018	640
307	1021	636
308	1024	633
309	1026	629
310	1030	626
311	1033	622
312	1036	619
313	1040	616
314	1042	612
315	1046	609
316	1048	605
317	1051	601
318	1054	598
319	1057	594
320	1060	591
321	1063	587
322	1066	584
323	1069	581
324	1073	577
325	1076	574
326	1079	571
327	1082	567
328	1084	563
329	1088	560
330	1090	556
331	1093	553
332	1096	549
333	1099	546
334	1102	543
335	1105	539
336	1108	535
337	1111	532
338	1115	529
339	1118	526
340	1121	523
341	1124	519
342	1127	515
343	1130	512
344	1133	509
345	1136	505
346	1139	502
347	1141	498
348	1144	495
349	1148	492
350	1151	488
351	1154	485
352	1158	482
353	1160	478
354	1163	475
355	1166	471
356	1169	468
357	1172	465
358	1175	461
359	1178	458
360	1181	454
361	1184	451
362	1187	448
363	1190	444
364	1193	441
365	1196	437
366	1199	434
367	1202	431
368	1205	427
369	1208	424
370	1211	421
371	1215	418
372	1218	414
373	1221	411
374	1224	408
375	1229	405
376	1232	402
377	1236	398
378	1238	395
379	1241	392
380	1244	388
381	1247	385
382	1250	381
383	1254	378
384	1257	375
385	1260	372
386	1263	368
