dataset;method;cls;nr_events;metric;score
production;single_laststate;catboost;1;auc;0.6904761904761905
production;single_laststate;catboost;1;prec;0.38235294117647056
production;single_laststate;catboost;1;rec;0.9285714285714286
production;single_laststate;catboost;1;fscore;0.5416666666666667
production;single_laststate;catboost;2;auc;0.6507936507936508
production;single_laststate;catboost;2;prec;0.41935483870967744
production;single_laststate;catboost;2;rec;0.9285714285714286
production;single_laststate;catboost;2;fscore;0.5777777777777778
production;single_laststate;catboost;3;auc;0.6120401337792643
production;single_laststate;catboost;3;prec;0.42857142857142855
production;single_laststate;catboost;3;rec;0.9230769230769231
production;single_laststate;catboost;3;fscore;0.5853658536585366
production;single_laststate;catboost;4;auc;0.635
production;single_laststate;catboost;4;prec;0.4090909090909091
production;single_laststate;catboost;4;rec;0.9
production;single_laststate;catboost;4;fscore;0.5625000000000001
production;single_laststate;catboost;5;auc;0.66
production;single_laststate;catboost;5;prec;0.47058823529411764
production;single_laststate;catboost;5;rec;0.8
production;single_laststate;catboost;5;fscore;0.5925925925925927
production;single_laststate;catboost;6;auc;0.7053571428571429
production;single_laststate;catboost;6;prec;0.4666666666666667
production;single_laststate;catboost;6;rec;0.875
production;single_laststate;catboost;6;fscore;0.608695652173913
production;single_laststate;catboost;7;auc;0.7738095238095237
production;single_laststate;catboost;7;prec;0.5
production;single_laststate;catboost;7;rec;0.8571428571428571
production;single_laststate;catboost;7;fscore;0.631578947368421
production;single_laststate;catboost;8;auc;0.7012987012987013
production;single_laststate;catboost;8;prec;0.5
production;single_laststate;catboost;8;rec;0.8571428571428571
production;single_laststate;catboost;8;fscore;0.631578947368421
production;single_laststate;catboost;9;auc;0.75
production;single_laststate;catboost;9;prec;0.5555555555555556
production;single_laststate;catboost;9;rec;1.0
production;single_laststate;catboost;9;fscore;0.7142857142857143
production;single_laststate;catboost;10;auc;0.888888888888889
production;single_laststate;catboost;10;prec;0.5
production;single_laststate;catboost;10;rec;1.0
production;single_laststate;catboost;10;fscore;0.6666666666666666
production;single_laststate;catboost;11;auc;0.8333333333333334
production;single_laststate;catboost;11;prec;0.6
production;single_laststate;catboost;11;rec;1.0
production;single_laststate;catboost;11;fscore;0.7499999999999999
production;single_laststate;catboost;12;auc;1.0
production;single_laststate;catboost;12;prec;0.75
production;single_laststate;catboost;12;rec;1.0
production;single_laststate;catboost;12;fscore;0.8571428571428571
production;single_laststate;catboost;13;auc;0.888888888888889
production;single_laststate;catboost;13;prec;0.75
production;single_laststate;catboost;13;rec;1.0
production;single_laststate;catboost;13;fscore;0.8571428571428571
production;single_laststate;catboost;14;auc;1.0
production;single_laststate;catboost;14;prec;0.6666666666666666
production;single_laststate;catboost;14;rec;1.0
production;single_laststate;catboost;14;fscore;0.8
production;single_laststate;catboost;15;auc;1.0
production;single_laststate;catboost;15;prec;0.5
production;single_laststate;catboost;15;rec;1.0
production;single_laststate;catboost;15;fscore;0.6666666666666666
production;single_laststate;catboost;16;auc;1.0
production;single_laststate;catboost;16;prec;1.0
production;single_laststate;catboost;16;rec;1.0
production;single_laststate;catboost;16;fscore;1.0
production;single_laststate;catboost;17;auc;nan
production;single_laststate;catboost;17;prec;0.0
production;single_laststate;catboost;17;rec;0.0
production;single_laststate;catboost;17;fscore;0.0
production;single_laststate;catboost;-1;auc;0.7194632290786137
production;single_laststate;catboost;-1;fscore;0.5720224132125642
