iter	Passed	Remaining
0	49	49774
1	52	26028
2	53	17766
3	55	13825
4	57	11349
5	58	9754
6	60	8546
7	61	7687
8	63	7032
9	65	6485
10	67	6052
11	69	5694
12	72	5508
13	74	5220
14	75	4979
15	77	4748
16	79	4569
17	80	4406
18	82	4256
19	84	4120
20	85	3999
21	88	3929
22	89	3818
23	91	3727
24	93	3654
25	95	3586
26	97	3507
27	98	3424
28	100	3354
29	101	3285
30	102	3216
31	104	3156
32	105	3103
33	107	3049
34	109	3008
35	110	2952
36	111	2913
37	113	2874
38	115	2836
39	116	2800
40	118	2764
41	119	2735
42	121	2709
43	123	2690
44	125	2661
45	126	2633
46	128	2604
47	130	2580
48	131	2557
49	133	2538
50	135	2521
51	137	2502
52	139	2484
53	140	2467
54	142	2450
55	144	2435
56	146	2420
57	147	2397
58	149	2382
59	150	2363
60	152	2345
61	153	2324
62	155	2311
63	156	2290
64	158	2280
65	160	2270
66	162	2263
67	164	2254
68	166	2243
69	168	2235
70	170	2229
71	172	2222
72	174	2211
73	175	2194
74	177	2187
75	179	2181
76	181	2170
77	182	2155
78	184	2146
79	185	2138
80	187	2126
81	188	2113
82	189	2098
83	191	2087
84	192	2075
85	194	2070
86	196	2060
87	197	2051
88	199	2043
89	201	2034
90	203	2029
91	205	2024
92	207	2019
93	208	2011
94	210	2002
95	211	1995
96	213	1985
97	214	1972
98	215	1962
99	217	1955
100	218	1946
101	220	1940
102	222	1935
103	224	1934
104	226	1930
105	228	1923
106	229	1916
107	231	1910
108	232	1904
109	234	1897
110	236	1893
111	238	1889
112	239	1882
113	241	1874
114	242	1868
115	244	1863
116	245	1856
117	247	1850
118	249	1845
119	250	1840
120	252	1835
121	254	1831
122	255	1825
123	258	1823
124	259	1819
125	261	1814
126	263	1808
127	264	1803
128	266	1800
129	268	1795
130	269	1789
131	271	1786
132	273	1781
133	274	1777
134	276	1772
135	278	1766
136	279	1763
137	281	1759
138	283	1755
139	284	1749
140	286	1745
141	287	1738
142	289	1735
143	291	1730
144	294	1734
145	295	1729
146	297	1726
147	299	1723
148	300	1719
149	302	1713
150	304	1711
151	305	1706
152	307	1701
153	309	1698
154	310	1693
155	312	1688
156	313	1684
157	315	1679
158	316	1676
159	318	1672
160	319	1666
161	321	1662
162	323	1658
163	324	1655
164	327	1656
165	329	1654
166	331	1652
167	333	1649
168	334	1646
169	336	1641
170	338	1638
171	339	1635
172	341	1632
173	343	1629
174	345	1626
175	346	1621
176	347	1616
177	349	1612
178	350	1608
179	352	1606
180	354	1604
181	355	1598
182	357	1595
183	359	1592
184	361	1590
185	362	1585
186	364	1583
187	366	1580
188	367	1577
189	369	1574
190	372	1578
191	374	1574
192	375	1571
193	377	1567
194	378	1563
195	380	1559
196	381	1556
197	383	1553
198	385	1552
199	387	1549
200	389	1546
201	390	1544
202	392	1542
203	394	1539
204	396	1536
205	398	1535
206	400	1532
207	401	1530
208	403	1528
209	405	1527
210	408	1525
211	409	1523
212	411	1521
213	413	1519
214	414	1514
215	417	1513
216	419	1512
217	420	1509
218	422	1507
219	423	1502
220	425	1500
221	427	1496
222	429	1495
223	430	1491
224	431	1487
225	433	1485
226	434	1481
227	436	1476
228	437	1473
229	439	1470
230	440	1466
231	442	1463
232	443	1460
233	445	1459
234	447	1456
235	448	1453
236	450	1449
237	451	1446
238	453	1445
239	455	1441
240	456	1438
241	458	1435
242	460	1433
243	462	1431
244	463	1429
245	465	1425
246	466	1422
247	467	1418
248	469	1415
249	471	1413
250	472	1411
251	474	1407
252	476	1406
253	478	1405
254	480	1402
255	481	1399
256	483	1397
257	485	1395
258	487	1393
259	488	1391
260	490	1388
261	491	1385
262	493	1383
263	495	1380
264	497	1378
265	498	1376
266	500	1373
267	502	1371
268	503	1369
269	505	1366
270	506	1363
271	508	1360
272	510	1358
273	512	1357
274	514	1355
275	515	1351
276	517	1350
277	519	1348
278	520	1345
279	522	1342
280	523	1339
281	526	1339
282	527	1336
283	529	1335
284	531	1332
285	532	1329
286	534	1327
287	536	1325
288	537	1322
289	539	1319
290	540	1316
291	542	1314
292	543	1312
293	545	1309
294	547	1308
295	549	1306
296	550	1303
297	552	1302
298	555	1301
299	556	1299
300	558	1297
301	560	1295
302	561	1291
303	563	1290
304	565	1287
305	566	1285
306	569	1284
307	571	1283
308	572	1280
309	574	1278
310	576	1276
311	578	1275
312	580	1273
313	582	1273
314	584	1271
315	586	1269
316	587	1266
317	590	1265
318	591	1263
319	593	1261
320	594	1257
321	596	1255
322	598	1253
323	600	1252
324	602	1251
325	604	1249
326	610	1256
327	612	1255
328	615	1254
329	616	1252
330	618	1250
331	620	1248
332	622	1246
333	623	1243
334	625	1241
335	626	1239
336	628	1236
337	630	1235
338	632	1232
339	634	1230
340	635	1228
341	637	1226
342	638	1223
343	641	1223
344	642	1220
345	644	1218
346	646	1216
347	647	1213
348	649	1212
349	651	1209
350	653	1207
351	654	1205
352	656	1203
353	658	1200
354	659	1198
355	661	1196
356	663	1194
357	664	1192
358	666	1190
359	668	1188
360	670	1186
361	672	1184
362	673	1181
363	674	1178
364	676	1176
365	677	1174
366	679	1171
367	680	1169
368	682	1167
369	683	1164
370	685	1162
371	687	1160
372	689	1158
373	691	1156
374	692	1154
375	694	1152
376	696	1150
377	698	1148
378	699	1146
379	701	1144
380	703	1143
381	705	1141
382	707	1139
383	708	1137
384	710	1135
385	712	1133
386	714	1131
387	716	1129
388	717	1127
389	719	1124
390	720	1122
391	722	1120
392	724	1118
393	726	1117
394	728	1115
395	730	1113
396	732	1112
397	734	1111
398	736	1109
399	738	1107
400	739	1105
401	741	1103
402	743	1100
403	745	1099
404	747	1097
405	749	1096
406	750	1093
407	752	1091
408	754	1089
409	756	1087
410	757	1085
411	759	1084
412	761	1082
413	763	1080
414	764	1078
415	766	1076
416	768	1074
417	770	1072
418	771	1070
419	773	1068
420	775	1066
421	777	1064
422	779	1062
423	780	1060
424	782	1058
425	784	1056
426	785	1054
427	787	1052
428	789	1050
429	791	1049
430	793	1046
431	794	1045
432	796	1043
433	797	1040
434	799	1038
435	801	1036
436	802	1034
437	804	1032
438	806	1030
439	807	1028
440	809	1026
441	812	1026
442	815	1024
443	816	1022
444	818	1020
445	819	1018
446	821	1016
447	823	1014
448	824	1012
449	826	1009
450	828	1007
451	829	1005
452	830	1003
453	832	1000
454	834	999
455	836	997
456	837	995
457	839	993
458	841	991
459	842	989
460	844	987
461	846	985
462	847	983
463	849	981
464	851	979
465	852	977
466	854	974
467	855	972
468	857	970
469	858	968
470	860	966
471	862	965
472	864	962
473	865	960
474	867	958
475	869	956
476	870	954
477	872	952
478	874	950
479	875	948
480	876	946
481	878	944
482	880	942
483	882	940
484	883	938
485	885	936
486	887	934
487	889	933
488	890	930
489	892	929
490	894	927
491	895	925
492	897	923
493	899	921
494	901	919
495	902	917
496	904	915
497	906	913
498	907	911
499	909	909
500	911	907
501	912	905
502	914	903
503	916	901
504	918	900
505	920	898
506	921	896
507	923	894
508	925	892
509	927	891
510	928	888
511	930	886
512	932	884
513	933	882
514	934	880
515	936	878
516	938	876
517	939	874
518	941	872
519	943	870
520	944	868
521	946	866
522	948	864
523	949	862
524	951	861
525	953	859
526	955	857
527	957	855
528	958	853
529	960	851
530	961	849
531	963	847
532	965	846
533	967	844
534	968	842
535	969	839
536	972	838
537	974	836
538	976	834
539	978	833
540	980	831
541	981	829
542	983	827
543	984	825
544	986	823
545	988	822
546	990	820
547	991	817
548	993	815
549	994	813
550	996	811
551	997	809
552	999	807
553	1000	805
554	1003	804
555	1005	802
556	1007	801
557	1009	799
558	1011	798
559	1014	796
560	1017	796
561	1019	794
562	1020	792
563	1022	790
564	1024	788
565	1026	787
566	1028	785
567	1030	783
568	1032	781
569	1033	779
570	1035	778
571	1037	776
572	1038	774
573	1040	772
574	1042	770
575	1044	768
576	1046	767
577	1047	764
578	1049	763
579	1051	761
580	1053	759
581	1054	757
582	1056	755
583	1057	753
584	1059	751
585	1061	750
586	1063	748
587	1065	746
588	1067	744
589	1068	742
590	1070	740
591	1071	738
592	1074	737
593	1076	735
594	1077	733
595	1079	731
596	1081	729
597	1082	727
598	1083	725
599	1085	723
600	1087	721
601	1089	720
602	1090	717
603	1092	716
604	1093	713
605	1095	711
606	1096	709
607	1098	708
608	1099	705
609	1101	704
610	1103	702
611	1104	700
612	1106	698
613	1107	696
614	1109	694
615	1110	692
616	1112	690
617	1114	689
618	1116	686
619	1117	685
620	1118	682
621	1120	680
622	1122	679
623	1124	677
624	1126	676
625	1128	674
626	1130	672
627	1132	670
628	1133	668
629	1135	666
630	1137	664
631	1138	663
632	1140	661
633	1143	660
634	1144	658
635	1146	656
636	1148	654
637	1149	652
638	1151	650
639	1152	648
640	1154	646
641	1157	645
642	1158	643
643	1160	641
644	1162	639
645	1164	637
646	1165	636
647	1167	634
648	1169	632
649	1171	630
650	1173	628
651	1176	627
652	1178	626
653	1179	624
654	1181	622
655	1183	620
656	1184	618
657	1186	616
658	1188	615
659	1190	613
660	1192	611
661	1193	609
662	1195	607
663	1197	605
664	1198	603
665	1199	601
666	1201	600
667	1203	598
668	1204	596
669	1206	594
670	1208	592
671	1211	591
672	1212	589
673	1214	587
674	1216	585
675	1217	583
676	1219	581
677	1221	580
678	1223	578
679	1224	576
680	1226	574
681	1229	573
682	1231	571
683	1232	569
684	1234	567
685	1236	565
686	1238	564
687	1239	562
688	1241	560
689	1242	558
690	1244	556
691	1245	554
692	1247	552
693	1248	550
694	1250	548
695	1251	546
696	1253	544
697	1255	543
698	1256	541
699	1258	539
700	1260	537
701	1261	535
702	1263	533
703	1265	532
704	1267	530
705	1269	528
706	1270	526
707	1272	524
708	1274	522
709	1275	520
710	1276	518
711	1278	517
712	1279	515
713	1281	513
714	1283	511
715	1284	509
716	1286	507
717	1288	506
718	1290	504
719	1292	502
720	1294	500
721	1296	499
722	1297	497
723	1298	495
724	1301	493
725	1303	492
726	1304	490
727	1306	488
728	1308	486
729	1310	484
730	1311	482
731	1313	480
732	1314	478
733	1316	477
734	1318	475
735	1319	473
736	1321	471
737	1323	469
738	1325	468
739	1327	466
740	1328	464
741	1330	462
742	1332	460
743	1334	459
744	1335	457
745	1337	455
746	1339	453
747	1341	451
748	1342	449
749	1344	448
750	1345	446
751	1347	444
752	1349	442
753	1350	440
754	1352	438
755	1353	436
756	1354	434
757	1356	433
758	1358	431
759	1360	429
760	1361	427
761	1363	425
762	1365	424
763	1367	422
764	1369	420
765	1370	418
766	1372	416
767	1374	415
768	1376	413
769	1378	411
770	1379	409
771	1381	408
772	1383	406
773	1385	404
774	1387	402
775	1389	401
776	1391	399
777	1393	397
778	1395	395
779	1397	394
780	1399	392
781	1401	390
782	1403	388
783	1405	387
784	1407	385
785	1409	383
786	1410	381
787	1413	380
788	1414	378
789	1416	376
790	1418	374
791	1419	372
792	1421	370
793	1422	369
794	1424	367
795	1425	365
796	1426	363
797	1428	361
798	1429	359
799	1431	357
800	1433	356
801	1437	354
802	1438	352
803	1439	351
804	1441	349
805	1443	347
806	1444	345
807	1446	343
808	1448	341
809	1450	340
810	1451	338
811	1452	336
812	1455	334
813	1456	332
814	1458	331
815	1460	329
816	1462	327
817	1464	325
818	1466	324
819	1468	322
820	1470	320
821	1472	318
822	1473	316
823	1475	315
824	1477	313
825	1478	311
826	1480	309
827	1482	307
828	1484	306
829	1485	304
830	1487	302
831	1489	300
832	1491	299
833	1493	297
834	1494	295
835	1496	293
836	1498	291
837	1500	290
838	1502	288
839	1503	286
840	1505	284
841	1506	282
842	1508	281
843	1510	279
844	1511	277
845	1513	275
846	1515	273
847	1517	271
848	1518	270
849	1520	268
850	1522	266
851	1523	264
852	1525	262
853	1527	261
854	1528	259
855	1530	257
856	1532	255
857	1534	253
858	1536	252
859	1537	250
860	1539	248
861	1541	246
862	1544	245
863	1546	243
864	1547	241
865	1549	239
866	1551	237
867	1553	236
868	1554	234
869	1556	232
870	1558	230
871	1560	229
872	1562	227
873	1564	225
874	1565	223
875	1567	221
876	1568	219
877	1570	218
878	1571	216
879	1573	214
880	1574	212
881	1577	211
882	1579	209
883	1580	207
884	1582	205
885	1584	203
886	1586	202
887	1587	200
888	1590	198
889	1591	196
890	1593	194
891	1595	193
892	1596	191
893	1598	189
894	1599	187
895	1601	185
896	1603	184
897	1604	182
898	1606	180
899	1607	178
900	1609	176
901	1610	174
902	1612	173
903	1613	171
904	1615	169
905	1617	167
906	1619	166
907	1620	164
908	1622	162
909	1624	160
910	1625	158
911	1627	157
912	1629	155
913	1630	153
914	1632	151
915	1634	149
916	1636	148
917	1637	146
918	1639	144
919	1641	142
920	1642	140
921	1644	139
922	1646	137
923	1648	135
924	1649	133
925	1650	131
926	1652	130
927	1654	128
928	1657	126
929	1659	124
930	1660	123
931	1663	121
932	1665	119
933	1666	117
934	1668	115
935	1669	114
936	1671	112
937	1673	110
938	1674	108
939	1676	107
940	1679	105
941	1681	103
942	1682	101
943	1684	99
944	1686	98
945	1688	96
946	1690	94
947	1692	92
948	1694	91
949	1696	89
950	1698	87
951	1700	85
952	1702	83
953	1704	82
954	1706	80
955	1708	78
956	1710	76
957	1712	75
958	1714	73
959	1716	71
960	1717	69
961	1719	67
962	1721	66
963	1723	64
964	1725	62
965	1727	60
966	1729	59
967	1731	57
968	1732	55
969	1734	53
970	1736	51
971	1737	50
972	1739	48
973	1741	46
974	1743	44
975	1745	42
976	1747	41
977	1748	39
978	1750	37
979	1752	35
980	1754	33
981	1756	32
982	1759	30
983	1761	28
984	1763	26
985	1765	25
986	1767	23
987	1768	21
988	1770	19
989	1772	17
990	1774	16
991	1775	14
992	1777	12
993	1779	10
994	1781	8
995	1783	7
996	1784	5
997	1785	3
998	1787	1
999	1789	0
