dataset;method;cls;nr_events;metric;score
production;single_waveletLast;catboost;1;auc;0.5714285714285715
production;single_waveletLast;catboost;1;prec;0.3235294117647059
production;single_waveletLast;catboost;1;rec;0.7857142857142857
production;single_waveletLast;catboost;1;fscore;0.45833333333333326
production;single_waveletLast;catboost;2;auc;0.5291005291005291
production;single_waveletLast;catboost;2;prec;0.3333333333333333
production;single_waveletLast;catboost;2;rec;0.6428571428571429
production;single_waveletLast;catboost;2;fscore;0.43902439024390244
production;single_waveletLast;catboost;3;auc;0.4983277591973244
production;single_waveletLast;catboost;3;prec;0.34615384615384615
production;single_waveletLast;catboost;3;rec;0.6923076923076923
production;single_waveletLast;catboost;3;fscore;0.46153846153846156
production;single_waveletLast;catboost;4;auc;0.5449999999999999
production;single_waveletLast;catboost;4;prec;0.3
production;single_waveletLast;catboost;4;rec;0.6
production;single_waveletLast;catboost;4;fscore;0.4
production;single_waveletLast;catboost;5;auc;0.4933333333333333
production;single_waveletLast;catboost;5;prec;0.35294117647058826
production;single_waveletLast;catboost;5;rec;0.6
production;single_waveletLast;catboost;5;fscore;0.4444444444444445
production;single_waveletLast;catboost;6;auc;0.5625
production;single_waveletLast;catboost;6;prec;0.4117647058823529
production;single_waveletLast;catboost;6;rec;0.875
production;single_waveletLast;catboost;6;fscore;0.56
production;single_waveletLast;catboost;7;auc;0.7261904761904762
production;single_waveletLast;catboost;7;prec;0.5
production;single_waveletLast;catboost;7;rec;0.8571428571428571
production;single_waveletLast;catboost;7;fscore;0.631578947368421
production;single_waveletLast;catboost;8;auc;0.7662337662337663
production;single_waveletLast;catboost;8;prec;0.42857142857142855
production;single_waveletLast;catboost;8;rec;0.8571428571428571
production;single_waveletLast;catboost;8;fscore;0.5714285714285714
production;single_waveletLast;catboost;9;auc;0.9
production;single_waveletLast;catboost;9;prec;0.625
production;single_waveletLast;catboost;9;rec;1.0
production;single_waveletLast;catboost;9;fscore;0.7692307692307693
production;single_waveletLast;catboost;10;auc;1.0
production;single_waveletLast;catboost;10;prec;0.5
production;single_waveletLast;catboost;10;rec;1.0
production;single_waveletLast;catboost;10;fscore;0.6666666666666666
production;single_waveletLast;catboost;11;auc;1.0
production;single_waveletLast;catboost;11;prec;0.75
production;single_waveletLast;catboost;11;rec;1.0
production;single_waveletLast;catboost;11;fscore;0.8571428571428571
production;single_waveletLast;catboost;12;auc;1.0
production;single_waveletLast;catboost;12;prec;0.6
production;single_waveletLast;catboost;12;rec;1.0
production;single_waveletLast;catboost;12;fscore;0.7499999999999999
production;single_waveletLast;catboost;13;auc;1.0
production;single_waveletLast;catboost;13;prec;0.6
production;single_waveletLast;catboost;13;rec;1.0
production;single_waveletLast;catboost;13;fscore;0.7499999999999999
production;single_waveletLast;catboost;14;auc;1.0
production;single_waveletLast;catboost;14;prec;0.6666666666666666
production;single_waveletLast;catboost;14;rec;1.0
production;single_waveletLast;catboost;14;fscore;0.8
production;single_waveletLast;catboost;15;auc;1.0
production;single_waveletLast;catboost;15;prec;0.5
production;single_waveletLast;catboost;15;rec;1.0
production;single_waveletLast;catboost;15;fscore;0.6666666666666666
production;single_waveletLast;catboost;16;auc;1.0
production;single_waveletLast;catboost;16;prec;1.0
production;single_waveletLast;catboost;16;rec;1.0
production;single_waveletLast;catboost;16;fscore;1.0
production;single_waveletLast;catboost;17;auc;nan
production;single_waveletLast;catboost;17;prec;0.0
production;single_waveletLast;catboost;17;rec;0.0
production;single_waveletLast;catboost;17;fscore;0.0
production;single_waveletLast;catboost;-1;auc;0.6508347421808961
production;single_waveletLast;catboost;-1;fscore;0.48868422668385825
