dataset;method;cls;nr_events;metric;score
production;prefix_agg;xgboost;1;auc;0.6035714285714286
production;prefix_agg;xgboost;1;prec;0.3939393939393939
production;prefix_agg;xgboost;1;rec;0.9285714285714286
production;prefix_agg;xgboost;1;fscore;0.5531914893617021
production;prefix_agg;xgboost;2;auc;0.6084656084656085
production;prefix_agg;xgboost;2;prec;0.43333333333333335
production;prefix_agg;xgboost;2;rec;0.9285714285714286
production;prefix_agg;xgboost;2;fscore;0.5909090909090909
production;prefix_agg;xgboost;3;auc;0.7959866220735786
production;prefix_agg;xgboost;3;prec;0.48
production;prefix_agg;xgboost;3;rec;0.9230769230769232
production;prefix_agg;xgboost;3;fscore;0.631578947368421
production;prefix_agg;xgboost;4;auc;0.6200000000000001
production;prefix_agg;xgboost;4;prec;0.4
production;prefix_agg;xgboost;4;rec;0.8
production;prefix_agg;xgboost;4;fscore;0.5333333333333333
production;prefix_agg;xgboost;5;auc;0.6333333333333333
production;prefix_agg;xgboost;5;prec;0.5714285714285714
production;prefix_agg;xgboost;5;rec;0.8
production;prefix_agg;xgboost;5;fscore;0.6666666666666666
production;prefix_agg;xgboost;6;auc;0.7678571428571428
production;prefix_agg;xgboost;6;prec;0.5454545454545454
production;prefix_agg;xgboost;6;rec;0.75
production;prefix_agg;xgboost;6;fscore;0.631578947368421
production;prefix_agg;xgboost;7;auc;0.7916666666666666
production;prefix_agg;xgboost;7;prec;0.5454545454545454
production;prefix_agg;xgboost;7;rec;0.8571428571428571
production;prefix_agg;xgboost;7;fscore;0.6666666666666665
production;prefix_agg;xgboost;8;auc;0.7402597402597403
production;prefix_agg;xgboost;8;prec;0.5454545454545454
production;prefix_agg;xgboost;8;rec;0.8571428571428571
production;prefix_agg;xgboost;8;fscore;0.6666666666666665
production;prefix_agg;xgboost;9;auc;0.975
production;prefix_agg;xgboost;9;prec;0.5555555555555556
production;prefix_agg;xgboost;9;rec;1.0
production;prefix_agg;xgboost;9;fscore;0.7142857142857143
production;prefix_agg;xgboost;10;auc;0.8055555555555556
production;prefix_agg;xgboost;10;prec;0.6
production;prefix_agg;xgboost;10;rec;1.0
production;prefix_agg;xgboost;10;fscore;0.7499999999999999
