dataset;method;score
bpic2011_f1;cluster_agg_catboost;0.98994521536747
bpic2011_f1;cluster_agg_logit;0.7434267239482203
bpic2011_f1;cluster_agg_rf;0.9965308716423388
bpic2011_f1;cluster_agg_svm;0.6809688126599681
bpic2011_f1;cluster_agg_xgboost;0.9981410656903239
bpic2011_f1;cluster_laststate_catboost;0.9873616521768556
bpic2011_f1;cluster_laststate_logit;0.8174271148391771
bpic2011_f1;cluster_laststate_rf;0.9928356228773652
bpic2011_f1;cluster_laststate_svm;0.5309581126458575
bpic2011_f1;cluster_laststate_xgboost;0.9948939492382416
bpic2011_f1;prefix_agg_catboost;0.9943686557058703
bpic2011_f1;prefix_agg_logit;0.8005576330974241
bpic2011_f1;prefix_agg_rf;0.9981433565745962
bpic2011_f1;prefix_agg_svm;0.5045165674844715
bpic2011_f1;prefix_agg_xgboost;0.9893903247201511
bpic2011_f1;prefix_index_catboost;0.9957085637993516
bpic2011_f1;prefix_index_logit;0.8435056265496853
bpic2011_f1;prefix_index_rf;0.9975205035285142
bpic2011_f1;prefix_index_svm;0.9058744993324432
bpic2011_f1;prefix_index_xgboost;0.9959946595460614
bpic2011_f1;prefix_laststate_catboost;0.9941452254853917
bpic2011_f1;prefix_laststate_logit;0.7925426532953134
bpic2011_f1;prefix_laststate_rf;0.9952960008193545
bpic2011_f1;prefix_laststate_svm;0.5
bpic2011_f1;prefix_laststate_xgboost;0.9921739733635545
bpic2011_f1;single_agg_catboost;0.9650181474632596
bpic2011_f1;single_agg_logit;0.8220882690169139
bpic2011_f1;single_agg_rf;0.9970889014934176
bpic2011_f1;single_agg_svm;0.5
bpic2011_f1;single_agg_xgboost;0.9977284114653914
bpic2011_f1;single_laststate_catboost;0.966431268480519
bpic2011_f1;single_laststate_logit;0.8311658158640917
bpic2011_f1;single_laststate_rf;0.9923710083032009
bpic2011_f1;single_laststate_svm;0.50384187765451
bpic2011_f1;single_laststate_xgboost;0.9973989446688936
bpic2011_f1;state_agg_catboost;0.9786711502497443
bpic2011_f1;state_agg_logit;0.8130300198673929
bpic2011_f1;state_agg_rf;0.9826805718227866
bpic2011_f1;state_agg_svm;0.6482445070547652
bpic2011_f1;state_agg_xgboost;0.9825707275742931
bpic2011_f1;state_laststate_catboost;0.9785888090372498
bpic2011_f1;state_laststate_logit;0.8053276432865976
bpic2011_f1;state_laststate_rf;0.9779906847737927
bpic2011_f1;state_laststate_svm;0.6158425287306232
bpic2011_f1;state_laststate_xgboost;0.9746628247436625
bpic2011_f2;cluster_agg_catboost;0.9754149702474164
bpic2011_f2;cluster_agg_logit;0.6385061071093017
bpic2011_f2;cluster_agg_rf;0.995302223614156
bpic2011_f2;cluster_agg_svm;0.5616191669276542
bpic2011_f2;cluster_agg_xgboost;0.9781553398058253
bpic2011_f2;cluster_laststate_catboost;0.8751957406827434
bpic2011_f2;cluster_laststate_logit;0.6473535859693078
bpic2011_f2;cluster_laststate_rf;0.9130911368618854
bpic2011_f2;cluster_laststate_svm;0.5207485123708111
bpic2011_f2;cluster_laststate_xgboost;0.8578139680551207
bpic2011_f2;prefix_agg_catboost;0.8355778264954588
bpic2011_f2;prefix_agg_logit;0.6517381772627624
bpic2011_f2;prefix_agg_rf;0.9979642968994678
bpic2011_f2;prefix_agg_svm;0.5
bpic2011_f2;prefix_agg_xgboost;0.9729094895082996
bpic2011_f2;prefix_index_catboost;0.8660015481207534
bpic2011_f2;prefix_index_logit;0.8136234626300851
bpic2011_f2;prefix_index_rf;0.910510019781543
bpic2011_f2;prefix_index_svm;0.5
bpic2011_f2;prefix_index_xgboost;0.782747054270233
bpic2011_f2;prefix_laststate_catboost;0.8321327904791732
bpic2011_f2;prefix_laststate_logit;0.5793924209207642
bpic2011_f2;prefix_laststate_rf;0.9131694331349828
bpic2011_f2;prefix_laststate_svm;0.5
bpic2011_f2;prefix_laststate_xgboost;0.8662699655496399
bpic2011_f2;single_agg_catboost;0.857500782962731
bpic2011_f2;single_agg_logit;0.6481365487002817
bpic2011_f2;single_agg_rf;1.0
bpic2011_f2;single_agg_svm;0.5
bpic2011_f2;single_agg_xgboost;0.9727528969621048
bpic2011_f2;single_laststate_catboost;0.8838083307234575
bpic2011_f2;single_laststate_logit;0.6792984653930473
bpic2011_f2;single_laststate_rf;0.9350923896022548
bpic2011_f2;single_laststate_svm;0.5
bpic2011_f2;single_laststate_xgboost;0.7358283745693704
bpic2011_f2;state_agg_catboost;0.5330410272471029
bpic2011_f2;state_agg_logit;0.5374256185405576
bpic2011_f2;state_agg_rf;0.7022392734105857
bpic2011_f2;state_agg_svm;0.5098653304102725
bpic2011_f2;state_agg_xgboost;0.6534606952709051
bpic2011_f2;state_laststate_catboost;0.5673347948637645
bpic2011_f2;state_laststate_logit;0.5353899154400251
bpic2011_f2;state_laststate_rf;0.6435953648606327
bpic2011_f2;state_laststate_svm;0.5542593172564986
bpic2011_f2;state_laststate_xgboost;0.5092389602254933
bpic2011_f3;cluster_agg_catboost;0.9942241379310344
bpic2011_f3;cluster_agg_logit;0.6988793103448276
bpic2011_f3;cluster_agg_rf;0.994353448275862
bpic2011_f3;cluster_agg_svm;0.5241379310344827
bpic2011_f3;cluster_agg_xgboost;0.9771551724137928
bpic2011_f3;cluster_laststate_catboost;0.9846551724137932
bpic2011_f3;cluster_laststate_logit;0.6946551724137932
bpic2011_f3;cluster_laststate_rf;0.9963793103448276
bpic2011_f3;cluster_laststate_svm;0.9114655172413794
bpic2011_f3;cluster_laststate_xgboost;0.9708620689655172
bpic2011_f3;prefix_agg_catboost;0.9765517241379308
bpic2011_f3;prefix_agg_logit;0.6687931034482759
bpic2011_f3;prefix_agg_rf;0.9842241379310344
bpic2011_f3;prefix_agg_svm;0.5
bpic2011_f3;prefix_agg_xgboost;0.9718103448275862
bpic2011_f3;prefix_index_catboost;0.9884482758620693
bpic2011_f3;prefix_index_logit;0.9229310344827587
bpic2011_f3;prefix_index_rf;0.9987931034482758
bpic2011_f3;prefix_index_svm;0.5
bpic2011_f3;prefix_index_xgboost;0.9749137931034482
bpic2011_f3;prefix_laststate_catboost;0.9886206896551724
bpic2011_f3;prefix_laststate_logit;0.7036206896551724
bpic2011_f3;prefix_laststate_rf;0.9976724137931036
bpic2011_f3;prefix_laststate_svm;0.5
bpic2011_f3;prefix_laststate_xgboost;0.9762931034482759
bpic2011_f3;single_agg_catboost;0.9812931034482758
bpic2011_f3;single_agg_logit;0.7312931034482759
bpic2011_f3;single_agg_rf;0.9841810344827586
bpic2011_f3;single_agg_svm;0.5
bpic2011_f3;single_agg_xgboost;0.9942241379310344
bpic2011_f3;single_laststate_catboost;0.975603448275862
bpic2011_f3;single_laststate_logit;0.7721551724137931
bpic2011_f3;single_laststate_rf;0.9959051724137932
bpic2011_f3;single_laststate_svm;0.5
bpic2011_f3;single_laststate_xgboost;0.9973275862068964
bpic2011_f3;state_agg_catboost;0.9904310344827588
bpic2011_f3;state_agg_logit;0.7726724137931035
bpic2011_f3;state_agg_rf;0.9699137931034485
bpic2011_f3;state_agg_svm;0.7243534482758621
bpic2011_f3;state_agg_xgboost;0.9310775862068966
bpic2011_f3;state_laststate_catboost;0.9869827586206896
bpic2011_f3;state_laststate_logit;0.8315517241379309
bpic2011_f3;state_laststate_rf;0.96875
bpic2011_f3;state_laststate_svm;0.576853448275862
bpic2011_f3;state_laststate_xgboost;0.9465517241379308
bpic2011_f4;cluster_agg_catboost;0.9582087139277342
bpic2011_f4;cluster_agg_logit;0.7484439414760327
bpic2011_f4;cluster_agg_rf;0.9787001859186808
bpic2011_f4;cluster_agg_svm;0.7322770996685797
bpic2011_f4;cluster_agg_xgboost;0.9599870665265541
bpic2011_f4;cluster_laststate_catboost;0.9583703823458088
bpic2011_f4;cluster_laststate_logit;0.7193436262226174
bpic2011_f4;cluster_laststate_rf;0.9815293832349852
bpic2011_f4;cluster_laststate_svm;0.508810928785062
bpic2011_f4;cluster_laststate_xgboost;0.984156495028696
bpic2011_f4;prefix_agg_catboost;0.9888448791528576
bpic2011_f4;prefix_agg_logit;0.7933069274917145
bpic2011_f4;prefix_agg_rf;0.9867027726133699
bpic2011_f4;prefix_agg_svm;0.8776170075175815
bpic2011_f4;prefix_agg_xgboost;0.9845606660738824
bpic2011_f4;prefix_index_catboost;0.9909465685878264
bpic2011_f4;prefix_index_logit;0.8780211785627677
bpic2011_f4;prefix_index_rf;0.9827823134750626
bpic2011_f4;prefix_index_svm;0.8814970495513701
bpic2011_f4;prefix_index_xgboost;0.9852073397461806
bpic2011_f4;prefix_laststate_catboost;0.9842373292377332
bpic2011_f4;prefix_laststate_logit;0.8782636811898796
bpic2011_f4;prefix_laststate_rf;0.9834289871473608
bpic2011_f4;prefix_laststate_svm;0.8429795489451135
bpic2011_f4;prefix_laststate_xgboost;0.9888448791528576
bpic2011_f4;single_agg_catboost;0.9840756608196588
bpic2011_f4;single_agg_logit;0.716191092070164
bpic2011_f4;single_agg_rf;0.9886832107347828
bpic2011_f4;single_agg_svm;0.5
bpic2011_f4;single_agg_xgboost;0.9861773502546276
bpic2011_f4;single_laststate_catboost;0.988359873898634
bpic2011_f4;single_laststate_logit;0.8771320022633579
bpic2011_f4;single_laststate_rf;0.9441435615552504
bpic2011_f4;single_laststate_svm;0.8443133133942284
bpic2011_f4;single_laststate_xgboost;0.982297308220839
bpic2011_f4;state_agg_catboost;0.9172257699458412
bpic2011_f4;state_agg_logit;0.7279928865896047
bpic2011_f4;state_agg_rf;0.9357772209198932
bpic2011_f4;state_agg_svm;0.8156171691859995
bpic2011_f4;state_agg_xgboost;0.9201762185757013
bpic2011_f4;state_laststate_catboost;0.9057473122625496
bpic2011_f4;state_laststate_logit;0.7638832754021503
bpic2011_f4;state_laststate_rf;0.93262468676744
bpic2011_f4;state_laststate_svm;0.4892490501980439
bpic2011_f4;state_laststate_xgboost;0.9108398674318972
bpic2012_accepted;cluster_agg_catboost;0.8173270862369385
bpic2012_accepted;cluster_agg_logit;0.7763252122272644
bpic2012_accepted;cluster_agg_rf;0.8480233874493026
bpic2012_accepted;cluster_agg_svm;0.49423613823887735
bpic2012_accepted;cluster_agg_xgboost;0.8411427142443325
bpic2012_accepted;cluster_laststate_catboost;0.8090306432717782
bpic2012_accepted;cluster_laststate_logit;0.7806318577722983
bpic2012_accepted;cluster_laststate_rf;0.8142084710323225
bpic2012_accepted;cluster_laststate_svm;0.663003690742507
bpic2012_accepted;cluster_laststate_xgboost;0.8061251466148214
bpic2012_accepted;prefix_agg_catboost;0.8263940183558406
bpic2012_accepted;prefix_agg_logit;0.7760439530351589
bpic2012_accepted;prefix_agg_rf;0.8279390081566643
bpic2012_accepted;prefix_agg_svm;0.5
bpic2012_accepted;prefix_agg_xgboost;0.8241729192176929
bpic2012_accepted;prefix_index_catboost;0.8266973690210205
bpic2012_accepted;prefix_index_logit;0.7707218093110209
bpic2012_accepted;prefix_index_rf;0.8367083124344536
bpic2012_accepted;prefix_index_svm;0.5
bpic2012_accepted;prefix_index_xgboost;0.8080160503397018
bpic2012_accepted;prefix_laststate_catboost;0.8261306896848174
bpic2012_accepted;prefix_laststate_logit;0.7729623969371956
bpic2012_accepted;prefix_laststate_rf;0.8370359137057065
bpic2012_accepted;prefix_laststate_svm;0.5033695878726439
bpic2012_accepted;prefix_laststate_xgboost;0.804996187552993
bpic2012_accepted;single_agg_catboost;0.7964675533810578
bpic2012_accepted;single_agg_logit;0.7661367269009445
bpic2012_accepted;single_agg_rf;0.8143703085540088
bpic2012_accepted;single_agg_svm;0.5086424612201285
bpic2012_accepted;single_agg_xgboost;0.8299686894438143
bpic2012_accepted;single_laststate_catboost;0.8177857263716986
bpic2012_accepted;single_laststate_logit;0.7678536549654766
bpic2012_accepted;single_laststate_rf;0.8141901307719419
bpic2012_accepted;single_laststate_svm;0.5
bpic2012_accepted;single_laststate_xgboost;0.816464773423159
bpic2012_accepted;state_agg_catboost;0.8290866739920314
bpic2012_accepted;state_agg_logit;0.8023127139171564
bpic2012_accepted;state_agg_rf;0.8312120640128572
bpic2012_accepted;state_agg_svm;0.5956684442757503
bpic2012_accepted;state_agg_xgboost;0.8454034348054298
bpic2012_accepted;state_laststate_catboost;0.8289451102014929
bpic2012_accepted;state_laststate_logit;0.8078477981108464
bpic2012_accepted;state_laststate_rf;0.8452656743504662
bpic2012_accepted;state_laststate_svm;0.6607738692429077
bpic2012_accepted;state_laststate_xgboost;0.830810998329756
bpic2012_cancelled;cluster_agg_catboost;0.9717947799338011
bpic2012_cancelled;cluster_agg_logit;0.9119286840500319
bpic2012_cancelled;cluster_agg_rf;0.9702929420598836
bpic2012_cancelled;cluster_agg_svm;0.4756566480570382
bpic2012_cancelled;cluster_agg_xgboost;0.9761732943814079
bpic2012_cancelled;cluster_laststate_catboost;0.9737716026276861
bpic2012_cancelled;cluster_laststate_logit;0.9136288881006412
bpic2012_cancelled;cluster_laststate_rf;0.9727156377312872
bpic2012_cancelled;cluster_laststate_svm;0.5863865108193148
bpic2012_cancelled;cluster_laststate_xgboost;0.9732195861266113
bpic2012_cancelled;prefix_agg_catboost;0.9732711289660666
bpic2012_cancelled;prefix_agg_logit;0.9100843021534215
bpic2012_cancelled;prefix_agg_rf;0.9723856205763642
bpic2012_cancelled;prefix_agg_svm;0.6300752960706415
bpic2012_cancelled;prefix_agg_xgboost;0.9679542166737591
bpic2012_cancelled;prefix_index_catboost;0.9722836916911628
bpic2012_cancelled;prefix_index_logit;0.8965771597802513
bpic2012_cancelled;prefix_index_rf;0.9707974149794674
bpic2012_cancelled;prefix_index_svm;0.7917561185057964
bpic2012_cancelled;prefix_index_xgboost;0.9750635796148892
bpic2012_cancelled;prefix_laststate_catboost;0.973701602952231
bpic2012_cancelled;prefix_laststate_logit;0.9092778855775739
bpic2012_cancelled;prefix_laststate_rf;0.9758863978735303
bpic2012_cancelled;prefix_laststate_svm;0.5
bpic2012_cancelled;prefix_laststate_xgboost;0.9688667021405435
bpic2012_cancelled;single_agg_catboost;0.970156239682438
bpic2012_cancelled;single_agg_logit;0.9073347236813398
bpic2012_cancelled;single_agg_rf;0.9768721581958189
bpic2012_cancelled;single_agg_svm;0.5414520043079639
bpic2012_cancelled;single_agg_xgboost;0.9772062326212536
bpic2012_cancelled;single_laststate_catboost;0.9724108049997342
bpic2012_cancelled;single_laststate_logit;0.9074207967832979
bpic2012_cancelled;single_laststate_rf;0.9773722700468408
bpic2012_cancelled;single_laststate_svm;0.5555585009991216
bpic2012_cancelled;single_laststate_xgboost;0.9705386305922875
bpic2012_cancelled;state_agg_catboost;0.9742797500741341
bpic2012_cancelled;state_agg_logit;0.9249752390961643
bpic2012_cancelled;state_agg_rf;0.973232389135481
bpic2012_cancelled;state_agg_svm;0.6550310181311548
bpic2012_cancelled;state_agg_xgboost;0.971808407964798
bpic2012_cancelled;state_laststate_catboost;0.9746505004434025
bpic2012_cancelled;state_laststate_logit;0.9256529311924285
bpic2012_cancelled;state_laststate_rf;0.9780591082958613
bpic2012_cancelled;state_laststate_svm;0.6934866400278107
bpic2012_cancelled;state_laststate_xgboost;0.9706615684400426
bpic2012_declined;cluster_agg_catboost;0.6958604936220336
bpic2012_declined;cluster_agg_logit;0.621990807901197
bpic2012_declined;cluster_agg_rf;0.6924799083390818
bpic2012_declined;cluster_agg_svm;0.5278068306130329
bpic2012_declined;cluster_agg_xgboost;0.6978462446490094
bpic2012_declined;cluster_laststate_catboost;0.6745229818728112
bpic2012_declined;cluster_laststate_logit;0.6021196076009855
bpic2012_declined;cluster_laststate_rf;0.675081833017218
bpic2012_declined;cluster_laststate_svm;0.5
bpic2012_declined;cluster_laststate_xgboost;0.6520195635221409
bpic2012_declined;prefix_agg_catboost;0.6189736902440717
bpic2012_declined;prefix_agg_logit;0.6115451866106306
bpic2012_declined;prefix_agg_rf;0.6756398505336565
bpic2012_declined;prefix_agg_svm;0.508471573154994
bpic2012_declined;prefix_agg_xgboost;0.657180694378183
bpic2012_declined;prefix_index_logit;0.6068286123534741
bpic2012_declined;prefix_index_rf;0.6786700868192579
bpic2012_declined;prefix_index_svm;0.5
bpic2012_declined;prefix_index_xgboost;0.6651758309216873
bpic2012_declined;prefix_laststate_logit;0.5907171673912134
bpic2012_declined;prefix_laststate_rf;0.6768275911489362
bpic2012_declined;prefix_laststate_svm;0.5
bpic2012_declined;prefix_laststate_xgboost;0.6303559656029806
bpic2012_declined;single_agg_catboost;0.6473163857797177
bpic2012_declined;single_agg_logit;0.6016228273991542
bpic2012_declined;single_agg_rf;0.6899790074888754
bpic2012_declined;single_agg_svm;0.49997977253012016
bpic2012_declined;single_agg_xgboost;0.6675879435357531
bpic2012_declined;single_laststate_logit;0.5822863573626722
bpic2012_declined;single_laststate_rf;0.6941786401200625
bpic2012_declined;single_laststate_svm;0.5432445414754453
bpic2012_declined;single_laststate_xgboost;0.6566837304142973
bpic2012_declined;state_agg_catboost;0.6668034075852521
bpic2012_declined;state_agg_logit;0.6760821052939455
bpic2012_declined;state_agg_rf;0.7109057315762147
bpic2012_declined;state_agg_svm;0.5280566634122644
bpic2012_declined;state_agg_xgboost;0.6559140576079272
bpic2012_declined;state_laststate_logit;0.6622763152979956
bpic2012_declined;state_laststate_rf;0.7105223147116578
bpic2012_declined;state_laststate_svm;0.523831208637341
bpic2012_declined;state_laststate_xgboost;0.6770167742333396
bpic2015_1_f2;cluster_agg_catboost;0.8375084562002624
bpic2015_1_f2;cluster_agg_logit;0.7215233162332856
bpic2015_1_f2;cluster_agg_rf;0.8677877941157628
bpic2015_1_f2;cluster_agg_svm;0.5566828200177966
bpic2015_1_f2;cluster_agg_xgboost;0.8310509747014065
bpic2015_1_f2;cluster_laststate_catboost;0.7215304593392705
bpic2015_1_f2;cluster_laststate_logit;0.6696750813793353
bpic2015_1_f2;cluster_laststate_rf;0.7697401654009702
bpic2015_1_f2;cluster_laststate_svm;0.631473809704264
bpic2015_1_f2;cluster_laststate_xgboost;0.7202609150643801
bpic2015_1_f2;prefix_agg_catboost;0.7159909731227174
bpic2015_1_f2;prefix_agg_logit;0.6715213262892071
bpic2015_1_f2;prefix_agg_rf;0.810263470817143
bpic2015_1_f2;prefix_agg_svm;0.5
bpic2015_1_f2;prefix_agg_xgboost;0.7910387289586562
bpic2015_1_f2;prefix_index_catboost;0.5553613053613053
bpic2015_1_f2;prefix_index_logit;0.49825174825174817
bpic2015_1_f2;prefix_index_rf;0.5960081585081585
bpic2015_1_f2;prefix_index_svm;0.5
bpic2015_1_f2;prefix_index_xgboost;0.5515734265734266
bpic2015_1_f2;prefix_laststate_catboost;0.711584627416808
bpic2015_1_f2;prefix_laststate_logit;0.6368889756271475
bpic2015_1_f2;prefix_laststate_rf;0.7605585792693565
bpic2015_1_f2;prefix_laststate_svm;0.5
bpic2015_1_f2;prefix_laststate_xgboost;0.7201942327191423
bpic2015_1_f2;single_agg_catboost;0.6780852142280686
bpic2015_1_f2;single_agg_logit;0.6633831102993599
bpic2015_1_f2;single_agg_rf;0.8592021330110229
bpic2015_1_f2;single_agg_svm;0.5
bpic2015_1_f2;single_agg_xgboost;0.8265340272270365
bpic2015_1_f2;single_laststate_catboost;0.8571958541115873
bpic2015_1_f2;single_laststate_logit;0.6281093243910132
bpic2015_1_f2;single_laststate_rf;0.772181020393385
bpic2015_1_f2;single_laststate_svm;0.48218889130625253
bpic2015_1_f2;single_laststate_xgboost;0.7181138802277631
bpic2015_1_f2;state_agg_catboost;0.7479669491105064
bpic2015_1_f2;state_agg_logit;0.6942596653915344
bpic2015_1_f2;state_agg_rf;0.7822850959914371
bpic2015_1_f2;state_agg_svm;0.6211665639349205
bpic2015_1_f2;state_agg_xgboost;0.8008988324895464
bpic2015_1_f2;state_laststate_catboost;0.7331744164810112
bpic2015_1_f2;state_laststate_logit;0.72470566007818
bpic2015_1_f2;state_laststate_rf;0.7551780349578359
bpic2015_1_f2;state_laststate_svm;0.6167811705700436
bpic2015_1_f2;state_laststate_xgboost;0.752564491915891
bpic2015_2_f2;cluster_agg_catboost;0.9899845916795068
bpic2015_2_f2;cluster_agg_logit;0.8671032357473034
bpic2015_2_f2;cluster_agg_rf;0.9992295839753468
bpic2015_2_f2;cluster_agg_svm;0.6706471494607088
bpic2015_2_f2;cluster_agg_xgboost;0.8258859784283513
bpic2015_2_f2;cluster_laststate_catboost;0.8482280431432974
bpic2015_2_f2;cluster_laststate_logit;0.6856702619414484
bpic2015_2_f2;cluster_laststate_rf;0.8667180277349769
bpic2015_2_f2;cluster_laststate_svm;0.5589368258859784
bpic2015_2_f2;cluster_laststate_xgboost;0.8474576271186441
bpic2015_2_f2;prefix_agg_catboost;0.9433744221879814
bpic2015_2_f2;prefix_agg_logit;0.8540061633281972
bpic2015_2_f2;prefix_agg_rf;1.0
bpic2015_2_f2;prefix_agg_svm;0.5
bpic2015_2_f2;prefix_agg_xgboost;0.9992295839753468
bpic2015_2_f2;prefix_index_catboost;0.7307692307692308
bpic2015_2_f2;prefix_index_logit;0.6867692307692307
bpic2015_2_f2;prefix_index_rf;0.7440000000000001
bpic2015_2_f2;prefix_index_svm;0.684
bpic2015_2_f2;prefix_index_xgboost;0.6375384615384616
bpic2015_2_f2;prefix_laststate_catboost;0.850924499229584
bpic2015_2_f2;prefix_laststate_logit;0.7176425269645608
bpic2015_2_f2;prefix_laststate_rf;0.9235362095531587
bpic2015_2_f2;prefix_laststate_svm;0.5042372881355932
bpic2015_2_f2;prefix_laststate_xgboost;0.8459167950693375
bpic2015_2_f2;single_agg_catboost;0.8917565485362096
bpic2015_2_f2;single_agg_logit;0.8536209553158705
bpic2015_2_f2;single_agg_rf;1.0
bpic2015_2_f2;single_agg_svm;0.5
bpic2015_2_f2;single_agg_xgboost;0.9992295839753468
bpic2015_2_f2;single_laststate_catboost;0.8805855161787365
bpic2015_2_f2;single_laststate_logit;0.7403697996918336
bpic2015_2_f2;single_laststate_rf;0.9198767334360557
bpic2015_2_f2;single_laststate_svm;0.5
bpic2015_2_f2;single_laststate_xgboost;0.9110169491525425
bpic2015_2_f2;state_agg_catboost;0.8474576271186439
bpic2015_2_f2;state_agg_logit;0.8647919876733435
