dataset;method;score
bpic2011_f1;cluster_agg_catboost;0.8738158807568993
bpic2011_f1;cluster_agg_logit;0.6261849807788415
bpic2011_f1;cluster_agg_rf;0.9159318977469344
bpic2011_f1;cluster_agg_svm;0.535272100403553
bpic2011_f1;cluster_agg_xgboost;0.9135502989796868
bpic2011_f1;cluster_laststate_catboost;0.8415382687351551
bpic2011_f1;cluster_laststate_logit;0.6960310434882959
bpic2011_f1;cluster_laststate_rf;0.9062582767990107
bpic2011_f1;cluster_laststate_svm;0.535272100403553
bpic2011_f1;cluster_laststate_xgboost;0.9322040278260832
bpic2011_f1;prefix_agg_catboost;0.9283186241288567
bpic2011_f1;prefix_agg_logit;0.5906185272938304
bpic2011_f1;prefix_agg_rf;0.9668737932724024
bpic2011_f1;prefix_agg_svm;0.0
bpic2011_f1;prefix_agg_xgboost;0.9208613000292927
bpic2011_f1;prefix_index_catboost;0.9106382978723403
bpic2011_f1;prefix_index_logit;0.7313432835820897
bpic2011_f1;prefix_index_rf;0.9029535864978903
bpic2011_f1;prefix_index_svm;0.0
bpic2011_f1;prefix_index_xgboost;0.9385964912280702
bpic2011_f1;prefix_laststate_catboost;0.9009345940770468
bpic2011_f1;prefix_laststate_logit;0.6228216555765456
bpic2011_f1;prefix_laststate_rf;0.9316734832854352
bpic2011_f1;prefix_laststate_svm;0.0
bpic2011_f1;prefix_laststate_xgboost;0.9294266566641064
bpic2011_f1;single_agg_catboost;0.8593013898881422
bpic2011_f1;single_agg_logit;0.688012624217218
bpic2011_f1;single_agg_rf;0.9279576326615806
bpic2011_f1;single_agg_svm;0.0
bpic2011_f1;single_agg_xgboost;0.9309035780079561
bpic2011_f1;single_laststate_catboost;0.7416865659120947
bpic2011_f1;single_laststate_logit;0.704125960054379
bpic2011_f1;single_laststate_rf;0.9180639233186224
bpic2011_f1;single_laststate_svm;0.0
bpic2011_f1;single_laststate_xgboost;0.935757239349382
bpic2011_f1;state_agg_catboost;0.8986493157700259
bpic2011_f1;state_agg_logit;0.6664425100492003
bpic2011_f1;state_agg_rf;0.9323604400749975
bpic2011_f1;state_agg_svm;0.6595344240579849
bpic2011_f1;state_agg_xgboost;0.907177095827728
bpic2011_f1;state_laststate_catboost;0.8815552132948806
bpic2011_f1;state_laststate_logit;0.6624550108605513
bpic2011_f1;state_laststate_rf;0.9097941101922328
bpic2011_f1;state_laststate_svm;0.05037556973827761
bpic2011_f1;state_laststate_xgboost;0.8741713785508061
bpic2011_f2;cluster_agg_catboost;0.8464730290456431
bpic2011_f2;cluster_agg_logit;0.7734375000000001
bpic2011_f2;cluster_agg_rf;0.9357798165137615
bpic2011_f2;cluster_agg_svm;0.10810810810810813
bpic2011_f2;cluster_agg_xgboost;0.8744588744588744
bpic2011_f2;cluster_laststate_catboost;0.8305084745762712
bpic2011_f2;cluster_laststate_logit;0.7593984962406015
bpic2011_f2;cluster_laststate_rf;0.8711111111111112
bpic2011_f2;cluster_laststate_svm;0.2
bpic2011_f2;cluster_laststate_xgboost;0.8622222222222223
bpic2011_f2;prefix_agg_catboost;0.7983870967741936
bpic2011_f2;prefix_agg_logit;0.7686567164179104
bpic2011_f2;prefix_agg_rf;0.876595744680851
bpic2011_f2;prefix_agg_svm;0.0
bpic2011_f2;prefix_agg_xgboost;0.8442622950819673
bpic2011_f2;prefix_index_catboost;0.8580645161290322
bpic2011_f2;prefix_index_logit;0.5818181818181818
bpic2011_f2;prefix_index_rf;0.8520710059171598
bpic2011_f2;prefix_index_svm;0.7968337730870712
bpic2011_f2;prefix_index_xgboost;0.8263473053892215
bpic2011_f2;prefix_laststate_catboost;0.8272727272727274
bpic2011_f2;prefix_laststate_logit;0.7686567164179104
bpic2011_f2;prefix_laststate_rf;0.8800000000000001
bpic2011_f2;prefix_laststate_svm;0.7686567164179104
bpic2011_f2;prefix_laststate_xgboost;0.8434782608695651
bpic2011_f2;single_agg_catboost;0.7918367346938775
bpic2011_f2;single_agg_logit;0.7686567164179104
bpic2011_f2;single_agg_rf;0.9951690821256038
bpic2011_f2;single_agg_svm;0.7686567164179104
bpic2011_f2;single_agg_xgboost;0.8535564853556485
bpic2011_f2;single_laststate_catboost;0.8079999999999999
bpic2011_f2;single_laststate_logit;0.7686567164179104
bpic2011_f2;single_laststate_rf;0.8888888888888891
bpic2011_f2;single_laststate_svm;0.7686567164179104
bpic2011_f2;single_laststate_xgboost;0.7711864406779663
bpic2011_f2;state_agg_catboost;0.7389558232931728
bpic2011_f2;state_agg_logit;0.7129629629629629
bpic2011_f2;state_agg_rf;0.7965367965367965
bpic2011_f2;state_agg_svm;0.7142857142857143
bpic2011_f2;state_agg_xgboost;0.7866108786610879
bpic2011_f2;state_laststate_catboost;0.7457627118644067
bpic2011_f2;state_laststate_logit;0.6790697674418605
bpic2011_f2;state_laststate_rf;0.7319148936170212
bpic2011_f2;state_laststate_svm;0.6310160427807486
bpic2011_f2;state_laststate_xgboost;0.7372881355932204
bpic2011_f3;cluster_agg_catboost;0.9493670886075948
bpic2011_f3;cluster_agg_logit;0.588957055214724
bpic2011_f3;cluster_agg_rf;0.9615384615384616
bpic2011_f3;cluster_agg_svm;0.0
bpic2011_f3;cluster_agg_xgboost;0.9367088607594936
bpic2011_f3;cluster_laststate_catboost;0.9325153374233128
bpic2011_f3;cluster_laststate_logit;0.0
bpic2011_f3;cluster_laststate_rf;0.9610389610389608
bpic2011_f3;cluster_laststate_svm;0.5862068965517241
bpic2011_f3;cluster_laststate_xgboost;0.9044585987261146
bpic2011_f3;prefix_agg_catboost;0.9625
bpic2011_f3;prefix_agg_logit;0.0
bpic2011_f3;prefix_agg_rf;0.9685534591194968
bpic2011_f3;prefix_agg_svm;0.0
bpic2011_f3;prefix_agg_xgboost;0.9625
bpic2011_f3;prefix_index_catboost;0.9746835443037976
bpic2011_f3;prefix_index_logit;0.8104575163398693
bpic2011_f3;prefix_index_rf;0.9548387096774196
bpic2011_f3;prefix_index_svm;0.0
bpic2011_f3;prefix_index_xgboost;0.9565217391304348
bpic2011_f3;prefix_laststate_catboost;0.9746835443037976
bpic2011_f3;prefix_laststate_logit;0.1276595744680851
bpic2011_f3;prefix_laststate_rf;0.967741935483871
bpic2011_f3;prefix_laststate_svm;0.0
bpic2011_f3;prefix_laststate_xgboost;0.9625
bpic2011_f3;single_agg_catboost;0.9333333333333332
bpic2011_f3;single_agg_logit;0.023809523809523808
bpic2011_f3;single_agg_rf;0.9685534591194968
bpic2011_f3;single_agg_svm;0.0
bpic2011_f3;single_agg_xgboost;0.9685534591194968
bpic2011_f3;single_laststate_catboost;0.95
bpic2011_f3;single_laststate_logit;0.0
bpic2011_f3;single_laststate_rf;0.968152866242038
bpic2011_f3;single_laststate_svm;0.0
bpic2011_f3;single_laststate_xgboost;0.9746835443037976
bpic2011_f3;state_agg_catboost;0.9433962264150944
bpic2011_f3;state_agg_logit;0.583941605839416
bpic2011_f3;state_agg_rf;0.8933333333333334
bpic2011_f3;state_agg_svm;0.04878048780487806
bpic2011_f3;state_agg_xgboost;0.7804878048780488
bpic2011_f3;state_laststate_catboost;0.9044585987261146
bpic2011_f3;state_laststate_logit;0.3636363636363637
bpic2011_f3;state_laststate_rf;0.8689655172413794
bpic2011_f3;state_laststate_svm;0.0
bpic2011_f3;state_laststate_xgboost;0.781954887218045
bpic2011_f4;cluster_agg_catboost;0.8682926829268294
bpic2011_f4;cluster_agg_logit;0.6387434554973822
bpic2011_f4;cluster_agg_rf;0.8527918781725888
bpic2011_f4;cluster_agg_svm;0.06521739130434782
bpic2011_f4;cluster_agg_xgboost;0.8618784530386742
bpic2011_f4;cluster_laststate_catboost;0.8669950738916256
bpic2011_f4;cluster_laststate_logit;0.6048780487804878
bpic2011_f4;cluster_laststate_rf;0.8656716417910447
bpic2011_f4;cluster_laststate_svm;0.0
bpic2011_f4;cluster_laststate_xgboost;0.9032258064516128
bpic2011_f4;prefix_agg_catboost;0.8934010152284264
bpic2011_f4;prefix_agg_logit;0.7169811320754716
bpic2011_f4;prefix_agg_rf;0.9302325581395348
bpic2011_f4;prefix_agg_svm;0.0
bpic2011_f4;prefix_agg_xgboost;0.9189189189189192
bpic2011_f4;prefix_index_catboost;0.8799999999999999
bpic2011_f4;prefix_index_logit;0.7751196172248804
bpic2011_f4;prefix_index_rf;0.9248554913294796
bpic2011_f4;prefix_index_svm;0.71356783919598
bpic2011_f4;prefix_index_xgboost;0.9239130434782608
bpic2011_f4;prefix_laststate_catboost;0.8934010152284264
bpic2011_f4;prefix_laststate_logit;0.7692307692307693
bpic2011_f4;prefix_laststate_rf;0.9265536723163842
bpic2011_f4;prefix_laststate_svm;0.0
bpic2011_f4;prefix_laststate_xgboost;0.9239130434782608
bpic2011_f4;single_agg_catboost;0.935483870967742
bpic2011_f4;single_agg_logit;0.5333333333333333
bpic2011_f4;single_agg_rf;0.9438202247191012
bpic2011_f4;single_agg_svm;0.0
bpic2011_f4;single_agg_xgboost;0.9239130434782608
bpic2011_f4;single_laststate_catboost;0.934065934065934
bpic2011_f4;single_laststate_logit;0.7692307692307693
bpic2011_f4;single_laststate_rf;0.8723404255319148
bpic2011_f4;single_laststate_svm;0.4393939393939394
bpic2011_f4;single_laststate_xgboost;0.9197860962566844
bpic2011_f4;state_agg_catboost;0.8358208955223879
bpic2011_f4;state_agg_logit;0.6956521739130436
bpic2011_f4;state_agg_rf;0.8
bpic2011_f4;state_agg_svm;0.6428571428571429
bpic2011_f4;state_agg_xgboost;0.8135593220338984
bpic2011_f4;state_laststate_catboost;0.8137254901960784
bpic2011_f4;state_laststate_logit;0.7358490566037736
bpic2011_f4;state_laststate_rf;0.7942583732057416
bpic2011_f4;state_laststate_svm;0.0925925925925926
bpic2011_f4;state_laststate_xgboost;0.8390804597701149
bpic2012_accepted;cluster_agg_catboost;0.8022469350148868
bpic2012_accepted;cluster_agg_logit;0.812336262910652
bpic2012_accepted;cluster_agg_rf;0.8171825529450271
bpic2012_accepted;cluster_agg_svm;0.0
bpic2012_accepted;cluster_agg_xgboost;0.8241645289301706
bpic2012_accepted;cluster_laststate_catboost;0.8122968782649947
